ID,# STN,YYYYMMDD,HH,DD,FH,FF,FX,T,T10,TD,SQ,Q,DR,RH,P,VV,N,U,WW,IX,M,R,S,O,Y,Gallons
0,  240,20180101.0,1.0,210.0,130.0,130.0,190.0,80.0,     ,46.0,0.0,0.0,0.0,-1.0,9939.0,63.0,8.0,79.0,   51,7.0,0.0,1.0,0.0,0.0,0.0,1.1389792713506361
1,  240,20180101.0,2.0,230.0,120.0,130.0,190.0,79.0,     ,54.0,0.0,0.0,0.0,-1.0,9943.0,60.0,8.0,84.0,   81,7.0,0.0,1.0,0.0,0.0,0.0,1.9930595762670202
2,  240,20180101.0,3.0,260.0,130.0,140.0,200.0,78.0,     ,42.0,0.0,0.0,0.0,-1.0,9958.0,75.0,8.0,78.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,1.1674347747771068
3,  240,20180101.0,4.0,250.0,110.0,100.0,180.0,77.0,     ,41.0,0.0,0.0,0.0,-1.0,9973.0,75.0,8.0,77.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,0.08959593641511171
4,  240,20180101.0,5.0,250.0,110.0,120.0,160.0,73.0,     ,32.0,0.0,0.0,0.0,0.0,9982.0,75.0,5.0,75.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,0.3719695919932412
5,  240,20180101.0,6.0,240.0,90.0,70.0,140.0,67.0,   55,26.0,0.0,0.0,0.0,0.0,9987.0,74.0,0.0,75.0,    1,7.0,0.0,0.0,0.0,0.0,0.0,0.27885973075277315
6,  240,20180101.0,7.0,220.0,80.0,80.0,100.0,59.0,     ,30.0,0.0,0.0,0.0,0.0,9990.0,70.0,5.0,81.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,0.4369402313428453
7,  240,20180101.0,8.0,210.0,80.0,80.0,110.0,60.0,     ,32.0,0.0,0.0,0.0,0.0,9992.0,70.0,0.0,82.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,1.3061593320856448
8,  240,20180101.0,9.0,210.0,90.0,100.0,130.0,66.0,     ,43.0,0.0,7.0,0.0,0.0,9993.0,70.0,8.0,85.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,1.3389361513659241
9,  240,20180101.0,10.0,210.0,100.0,100.0,140.0,68.0,     ,44.0,5.0,32.0,0.0,0.0,9992.0,70.0,6.0,84.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,0.023892494492987658
10,  240,20180101.0,11.0,210.0,90.0,100.0,140.0,72.0,     ,46.0,7.0,50.0,0.0,0.0,9989.0,70.0,8.0,83.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,1.391880206232722
11,  240,20180101.0,12.0,210.0,90.0,80.0,140.0,73.0,   50,43.0,2.0,48.0,0.0,0.0,9979.0,70.0,8.0,81.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,0.3014618791229894
12,  240,20180101.0,13.0,200.0,70.0,70.0,110.0,67.0,     ,42.0,0.0,30.0,0.0,0.0,9972.0,70.0,8.0,84.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,0.11566761308171648
13,  240,20180101.0,14.0,200.0,60.0,60.0,90.0,69.0,     ,43.0,0.0,29.0,0.0,0.0,9963.0,69.0,8.0,83.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,1.015278666846301
14,  240,20180101.0,15.0,190.0,50.0,40.0,80.0,69.0,     ,45.0,2.0,12.0,0.0,0.0,9960.0,68.0,8.0,84.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,0.6201702576033381
